id,loss
4,2078.51809933582
6,2461.798522386196
9,9507.132202301585
12,5684.589918177613
15,897.439853280289
17,2648.29448300731
21,2365.8762660291363
28,1515.2004159629648
32,2655.4487795275136
43,4099.610709850046
46,2935.511064480404
50,1396.6551137421434
54,1509.657046706556
62,2583.185145361123
70,2546.1712001588976
71,4547.700521356058
75,2329.830677353176
77,3074.645701619603
81,3207.966195896253
83,2404.3977455195745
87,1653.1214153976389
97,2604.7068996217677
103,1616.7349255605843
119,1275.8365747151117
120,2688.3496429496527
127,1334.0102264255197
138,4749.881339030735
141,2733.1868724809924
148,1506.079731915094
150,3316.398263249921
151,3631.073568220671
158,1585.1759626032206
160,5991.677303249093
165,2607.03773041859
168,4219.780017448721
169,4685.517586972756
177,2658.6462236365037
178,3889.2722072906386
184,2585.6812828189945
194,8662.819757827336
198,1904.3941497243336
203,4347.270889992314
211,2924.8418714058953
217,1381.7707057321356
219,1449.6510275676003
221,5496.729336766992
227,2577.648183075829
230,1656.1393633038065
235,2656.4645016636623
240,819.6322576874278
243,3424.126375775173
249,6330.314509944541
253,3089.2237175649575
258,1726.6745639352812
261,1966.9447422126188
263,3250.6922273364203
264,2724.302686622403
265,4981.308688059078
268,2045.4669402489553
271,2104.311377621441
274,6966.623178794898
275,1029.0575786973122
279,2003.7710396986658
282,2010.8129472955632
286,3569.6748939778736
288,1484.523452158792
294,2592.7608515356023
296,1140.846007707017
297,1749.8771679524848
300,887.5881529930605
303,9458.692550882424
314,1754.351785356951
315,4910.666758949177
321,2199.6299455190792
323,5438.0821753251785
330,3466.6917260084047
341,3007.4428244670517
342,5879.685110129889
352,2028.6352722141082
353,4743.134553593629
360,6624.040197501296
361,2986.2963974943605
362,4238.234594275681
366,1497.1293617545184
372,4237.937552616856
376,3275.544028786524
377,2606.8398480492756
379,1826.027638496042
380,4276.158463702554
387,1931.5105705226713
392,2143.4970122098466
394,9636.252976641788
395,1752.5665373988152
397,1839.9856160404406
407,6291.532177981562
411,6407.778510156612
416,2752.9010671219426
417,1754.3174233732
419,3812.7761008828056
428,5552.999385849011
431,2584.14695338095
436,10237.242878015873
438,1737.428502942825
445,6656.0340838201155
446,7284.829682576369
455,1771.9478490586669
456,1639.9474180317213
